agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9
0.495,0.54,0.53,0.535,0.47,0.525,0.52,0.535,0.535,0.53
0.525,0.495,0.5,0.525,0.555,0.52,0.545,0.455,0.46,0.51
0.535,0.5,0.495,0.475,0.53,0.49,0.535,0.515,0.535,0.51
0.525,0.51,0.49,0.475,0.46,0.51,0.475,0.51,0.525,0.535
0.51,0.5,0.54,0.58,0.5,0.535,0.535,0.545,0.5,0.525
0.56,0.53,0.545,0.485,0.53,0.49,0.545,0.595,0.54,0.53
0.49,0.505,0.465,0.605,0.51,0.48,0.555,0.51,0.485,0.47
0.495,0.505,0.53,0.535,0.48,0.495,0.515,0.475,0.465,0.56
0.51,0.49,0.555,0.51,0.52,0.565,0.6,0.525,0.48,0.57
0.54,0.515,0.535,0.535,0.515,0.53,0.495,0.515,0.53,0.53
0.495,0.51,0.51,0.47,0.465,0.465,0.49,0.53,0.59,0.64
0.525,0.495,0.545,0.49,0.51,0.525,0.525,0.5,0.56,0.565
0.545,0.51,0.46,0.49,0.48,0.5,0.515,0.58,0.53,0.485
0.505,0.565,0.53,0.56,0.55,0.58,0.535,0.57,0.505,0.51
0.585,0.5,0.53,0.57,0.465,0.56,0.505,0.5,0.485,0.55
0.55,0.5,0.505,0.595,0.555,0.465,0.55,0.54,0.475,0.52
0.5,0.515,0.57,0.52,0.54,0.52,0.565,0.545,0.54,0.525
0.535,0.56,0.55,0.47,0.54,0.53,0.61,0.55,0.55,0.615
0.545,0.57,0.515,0.545,0.54,0.52,0.495,0.495,0.525,0.455
0.5,0.5,0.6,0.475,0.515,0.475,0.57,0.54,0.54,0.605
0.575,0.64,0.61,0.66,0.64,0.605,0.66,0.685,0.595,0.6
0.635,0.635,0.615,0.685,0.625,0.625,0.61,0.605,0.69,0.675
0.65,0.655,0.615,0.555,0.595,0.595,0.615,0.585,0.655,0.65
0.635,0.645,0.59,0.66,0.67,0.605,0.71,0.585,0.64,0.645
0.58,0.595,0.68,0.555,0.64,0.575,0.64,0.585,0.67,0.61
0.64,0.585,0.685,0.68,0.665,0.615,0.655,0.64,0.665,0.615
0.655,0.695,0.65,0.575,0.585,0.63,0.595,0.64,0.69,0.7
0.655,0.635,0.605,0.665,0.61,0.665,0.625,0.6,0.635,0.63
0.585,0.655,0.595,0.58,0.615,0.685,0.605,0.65,0.655,0.58
0.625,0.675,0.665,0.67,0.63,0.66,0.58,0.675,0.625,0.64
0.74,0.75,0.755,0.785,0.705,0.66,0.71,0.705,0.725,0.71
0.745,0.685,0.7,0.73,0.76,0.67,0.71,0.73,0.72,0.735
0.675,0.68,0.685,0.71,0.695,0.74,0.715,0.67,0.745,0.66
0.72,0.72,0.71,0.625,0.745,0.71,0.68,0.72,0.705,0.7
0.71,0.68,0.705,0.705,0.71,0.705,0.665,0.685,0.695,0.685
0.71,0.635,0.74,0.73,0.7,0.705,0.735,0.645,0.695,0.72
0.7,0.68,0.745,0.69,0.69,0.705,0.73,0.72,0.7,0.805
0.665,0.67,0.8,0.695,0.7,0.65,0.68,0.68,0.715,0.72
0.71,0.69,0.73,0.725,0.7,0.755,0.7,0.705,0.75,0.67
0.74,0.69,0.715,0.76,0.76,0.715,0.685,0.685,0.735,0.72
0.77,0.695,0.71,0.785,0.73,0.79,0.77,0.79,0.745,0.75
0.78,0.73,0.72,0.755,0.75,0.78,0.78,0.74,0.76,0.78
0.715,0.775,0.8,0.8,0.74,0.755,0.81,0.695,0.775,0.73
0.735,0.755,0.75,0.8,0.82,0.735,0.77,0.74,0.735,0.73
0.75,0.74,0.785,0.765,0.76,0.73,0.725,0.81,0.78,0.765
0.735,0.8,0.76,0.775,0.73,0.705,0.77,0.765,0.775,0.79
0.73,0.745,0.77,0.745,0.76,0.765,0.765,0.815,0.79,0.82
0.72,0.77,0.77,0.75,0.73,0.7,0.805,0.775,0.78,0.86
0.825,0.78,0.77,0.75,0.78,0.735,0.715,0.775,0.75,0.81
0.765,0.75,0.705,0.74,0.72,0.755,0.775,0.715,0.77,0.745
0.805,0.83,0.8,0.81,0.825,0.805,0.79,0.825,0.86,0.825
0.815,0.82,0.78,0.75,0.87,0.785,0.785,0.815,0.815,0.825
0.885,0.775,0.82,0.84,0.845,0.855,0.78,0.82,0.805,0.78
0.82,0.79,0.84,0.81,0.79,0.82,0.78,0.75,0.82,0.85
0.845,0.775,0.855,0.815,0.77,0.785,0.81,0.79,0.85,0.755
0.845,0.83,0.85,0.82,0.81,0.84,0.825,0.825,0.775,0.775
0.83,0.745,0.835,0.815,0.805,0.84,0.83,0.8,0.81,0.825
0.82,0.78,0.82,0.875,0.83,0.825,0.77,0.835,0.795,0.855
0.85,0.835,0.8,0.825,0.81,0.81,0.825,0.795,0.8,0.775
0.805,0.795,0.84,0.795,0.805,0.835,0.82,0.82,0.865,0.83
0.865,0.885,0.87,0.83,0.845,0.84,0.86,0.89,0.83,0.875
0.88,0.855,0.83,0.89,0.875,0.915,0.89,0.85,0.88,0.865
0.8,0.86,0.89,0.89,0.875,0.845,0.86,0.865,0.84,0.9
0.835,0.845,0.875,0.89,0.825,0.875,0.83,0.85,0.84,0.875
0.885,0.86,0.87,0.855,0.84,0.855,0.9,0.865,0.855,0.835
0.805,0.845,0.86,0.88,0.835,0.895,0.895,0.83,0.865,0.87
0.845,0.885,0.88,0.845,0.87,0.875,0.895,0.86,0.88,0.85
0.875,0.845,0.86,0.865,0.86,0.86,0.82,0.825,0.88,0.875
0.87,0.85,0.81,0.825,0.85,0.895,0.89,0.89,0.85,0.83
0.845,0.845,0.88,0.865,0.875,0.86,0.855,0.855,0.91,0.855
0.935,0.86,0.92,0.94,0.89,0.89,0.87,0.87,0.915,0.855
0.92,0.915,0.895,0.88,0.89,0.895,0.88,0.895,0.915,0.925
0.91,0.885,0.93,0.9,0.94,0.925,0.925,0.89,0.9,0.935
0.89,0.895,0.95,0.87,0.875,0.895,0.885,0.865,0.88,0.865
0.87,0.895,0.915,0.92,0.92,0.885,0.915,0.925,0.905,0.905
0.96,0.885,0.915,0.875,0.875,0.905,0.885,0.93,0.875,0.895
0.895,0.935,0.905,0.895,0.895,0.89,0.92,0.895,0.87,0.895
0.88,0.895,0.915,0.88,0.895,0.935,0.9,0.92,0.885,0.875
0.9,0.915,0.885,0.885,0.865,0.9,0.9,0.865,0.91,0.895
0.895,0.885,0.905,0.925,0.925,0.88,0.88,0.9,0.895,0.88
0.935,0.9,0.935,0.93,0.9,0.895,0.9,0.935,0.93,0.925
0.93,0.92,0.905,0.94,0.92,0.91,0.915,0.91,0.925,0.92
0.92,0.915,0.91,0.88,0.915,0.945,0.95,0.925,0.905,0.895
0.91,0.89,0.935,0.91,0.91,0.92,0.92,0.925,0.93,0.91
0.905,0.935,0.905,0.91,0.93,0.905,0.905,0.93,0.895,0.925
0.93,0.95,0.88,0.925,0.925,0.935,0.925,0.91,0.885,0.94
0.925,0.885,0.895,0.945,0.925,0.94,0.945,0.905,0.93,0.945
0.91,0.91,0.94,0.875,0.905,0.915,0.92,0.945,0.93,0.93
0.9,0.92,0.92,0.9,0.915,0.92,0.925,0.905,0.91,0.95
0.925,0.94,0.88,0.925,0.905,0.88,0.94,0.9,0.905,0.93
0.965,0.915,0.945,0.955,0.935,0.94,0.95,0.925,0.935,0.95
0.935,0.945,0.94,0.925,0.945,0.94,0.955,0.95,0.945,0.915
0.965,0.95,0.925,0.94,0.945,0.975,0.95,0.925,0.95,0.94
0.935,0.95,0.93,0.935,0.97,0.9,0.955,0.955,0.91,0.92
0.96,0.915,0.935,0.955,0.965,0.925,0.99,0.935,0.935,0.93
0.96,0.93,0.95,0.93,0.895,0.945,0.955,0.95,0.92,0.97
0.94,0.96,0.94,0.935,0.94,0.945,0.945,0.93,0.935,0.935
0.945,0.935,0.95,0.955,0.925,0.965,0.945,0.96,0.94,0.895
0.94,0.95,0.95,0.955,0.955,0.935,0.935,0.95,0.955,0.945
0.97,0.955,0.94,0.925,0.935,0.94,0.945,0.955,0.96,0.95
