agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9
0.45,0.44,0.495,0.445,0.49,0.375,0.48,0.47,0.495,0.45
0.45,0.445,0.475,0.465,0.465,0.39,0.44,0.45,0.505,0.455
0.475,0.49,0.41,0.425,0.455,0.41,0.425,0.44,0.48,0.5
0.485,0.505,0.49,0.46,0.445,0.475,0.48,0.41,0.435,0.47
0.435,0.4,0.535,0.43,0.52,0.47,0.495,0.455,0.44,0.465
0.475,0.495,0.45,0.435,0.44,0.45,0.455,0.46,0.45,0.4
0.535,0.415,0.43,0.435,0.495,0.43,0.485,0.515,0.435,0.445
0.47,0.45,0.445,0.385,0.46,0.455,0.445,0.48,0.44,0.445
0.495,0.505,0.435,0.43,0.46,0.49,0.415,0.435,0.395,0.38
0.485,0.415,0.465,0.41,0.495,0.38,0.46,0.455,0.455,0.485
0.56,0.57,0.615,0.53,0.52,0.56,0.545,0.58,0.605,0.62
0.61,0.625,0.625,0.585,0.61,0.585,0.55,0.57,0.615,0.6
0.575,0.625,0.61,0.535,0.565,0.58,0.605,0.55,0.555,0.555
0.605,0.6,0.665,0.6,0.58,0.625,0.545,0.6,0.625,0.57
0.615,0.6,0.57,0.58,0.595,0.585,0.63,0.575,0.645,0.58
0.64,0.605,0.55,0.66,0.615,0.58,0.565,0.545,0.55,0.56
0.525,0.655,0.585,0.59,0.555,0.6,0.605,0.61,0.59,0.555
0.545,0.575,0.6,0.605,0.59,0.59,0.545,0.585,0.61,0.56
0.51,0.59,0.59,0.605,0.585,0.645,0.59,0.6,0.685,0.595
0.56,0.535,0.555,0.595,0.57,0.61,0.585,0.58,0.555,0.645
0.62,0.63,0.64,0.64,0.68,0.64,0.65,0.64,0.635,0.67
0.655,0.62,0.635,0.59,0.59,0.635,0.655,0.63,0.66,0.68
0.61,0.645,0.675,0.62,0.605,0.625,0.55,0.63,0.66,0.61
0.585,0.625,0.64,0.605,0.59,0.59,0.625,0.63,0.605,0.62
0.595,0.595,0.62,0.595,0.665,0.665,0.645,0.63,0.645,0.61
0.61,0.63,0.665,0.72,0.635,0.585,0.665,0.66,0.67,0.71
0.62,0.58,0.665,0.63,0.605,0.6,0.665,0.595,0.665,0.61
0.665,0.67,0.625,0.67,0.585,0.64,0.655,0.65,0.635,0.62
0.655,0.665,0.625,0.63,0.675,0.66,0.605,0.615,0.64,0.665
0.61,0.65,0.595,0.665,0.67,0.655,0.56,0.6,0.655,0.59
0.755,0.675,0.755,0.71,0.685,0.73,0.655,0.74,0.765,0.735
0.675,0.72,0.685,0.715,0.725,0.725,0.68,0.715,0.71,0.72
0.715,0.71,0.715,0.69,0.685,0.735,0.69,0.68,0.745,0.74
0.73,0.73,0.68,0.735,0.745,0.705,0.625,0.695,0.72,0.64
0.675,0.72,0.705,0.69,0.665,0.71,0.73,0.7,0.725,0.745
0.7,0.665,0.675,0.69,0.695,0.725,0.72,0.715,0.69,0.685
0.745,0.75,0.675,0.725,0.66,0.675,0.76,0.7,0.64,0.675
0.68,0.755,0.665,0.675,0.685,0.71,0.71,0.695,0.7,0.76
0.695,0.705,0.73,0.75,0.73,0.68,0.725,0.635,0.725,0.71
0.65,0.75,0.69,0.72,0.73,0.705,0.74,0.7,0.75,0.755
0.715,0.715,0.75,0.72,0.765,0.815,0.79,0.785,0.78,0.745
0.77,0.79,0.7,0.775,0.81,0.75,0.765,0.82,0.76,0.745
0.79,0.79,0.7,0.69,0.76,0.685,0.745,0.76,0.765,0.775
0.795,0.76,0.785,0.71,0.805,0.775,0.695,0.785,0.79,0.755
0.74,0.755,0.78,0.765,0.735,0.75,0.74,0.715,0.765,0.75
0.77,0.81,0.81,0.795,0.75,0.705,0.745,0.765,0.71,0.75
0.745,0.795,0.75,0.715,0.74,0.74,0.76,0.745,0.81,0.765
0.805,0.76,0.7,0.78,0.82,0.8,0.745,0.69,0.71,0.745
0.76,0.76,0.715,0.765,0.76,0.705,0.785,0.745,0.755,0.765
0.76,0.775,0.765,0.75,0.73,0.72,0.755,0.795,0.785,0.695
0.85,0.85,0.785,0.795,0.845,0.84,0.78,0.8,0.825,0.83
0.78,0.81,0.795,0.815,0.785,0.8,0.78,0.82,0.81,0.83
0.83,0.815,0.825,0.835,0.81,0.835,0.855,0.815,0.81,0.79
0.77,0.795,0.82,0.855,0.875,0.83,0.865,0.825,0.82,0.79
0.805,0.775,0.79,0.8,0.81,0.8,0.77,0.77,0.79,0.855
0.81,0.815,0.835,0.835,0.805,0.8,0.79,0.84,0.85,0.81
0.835,0.815,0.815,0.79,0.83,0.87,0.805,0.855,0.82,0.78
0.84,0.85,0.85,0.845,0.845,0.855,0.815,0.89,0.755,0.755
0.83,0.84,0.815,0.82,0.815,0.805,0.82,0.8,0.845,0.835
0.805,0.815,0.795,0.8,0.825,0.8,0.835,0.795,0.83,0.835
0.815,0.82,0.865,0.86,0.82,0.805,0.835,0.865,0.81,0.875
0.84,0.83,0.88,0.87,0.81,0.875,0.88,0.865,0.865,0.885
0.88,0.885,0.855,0.885,0.8,0.855,0.855,0.88,0.845,0.855
0.855,0.845,0.81,0.905,0.885,0.855,0.835,0.835,0.89,0.88
0.84,0.87,0.925,0.845,0.83,0.845,0.87,0.825,0.875,0.83
0.87,0.845,0.835,0.835,0.84,0.85,0.885,0.84,0.8,0.87
0.865,0.84,0.885,0.85,0.88,0.81,0.87,0.855,0.92,0.84
0.83,0.865,0.86,0.855,0.85,0.86,0.805,0.83,0.815,0.85
0.885,0.835,0.865,0.805,0.82,0.86,0.84,0.87,0.85,0.87
0.855,0.85,0.885,0.87,0.865,0.85,0.855,0.815,0.875,0.9
0.915,0.915,0.935,0.89,0.91,0.9,0.915,0.905,0.92,0.92
0.87,0.9,0.885,0.9,0.865,0.895,0.895,0.885,0.855,0.905
0.87,0.895,0.86,0.87,0.9,0.925,0.9,0.9,0.955,0.9
0.9,0.88,0.87,0.92,0.875,0.915,0.895,0.915,0.91,0.895
0.885,0.89,0.88,0.875,0.89,0.905,0.885,0.885,0.915,0.9
0.89,0.935,0.865,0.885,0.895,0.88,0.865,0.885,0.865,0.87
0.875,0.89,0.84,0.93,0.89,0.935,0.87,0.875,0.925,0.865
0.91,0.855,0.91,0.84,0.855,0.9,0.885,0.885,0.92,0.905
0.885,0.905,0.885,0.895,0.9,0.855,0.875,0.88,0.895,0.89
0.9,0.905,0.89,0.895,0.855,0.855,0.9,0.87,0.885,0.87
0.91,0.905,0.92,0.87,0.91,0.895,0.9,0.945,0.9,0.9
0.925,0.885,0.945,0.92,0.875,0.885,0.905,0.925,0.87,0.875
0.86,0.905,0.905,0.885,0.9,0.88,0.93,0.91,0.935,0.92
0.885,0.915,0.915,0.895,0.925,0.865,0.915,0.895,0.925,0.915
0.885,0.905,0.925,0.94,0.93,0.915,0.905,0.9,0.905,0.88
0.945,0.95,0.885,0.875,0.925,0.915,0.925,0.935,0.875,0.935
0.915,0.91,0.905,0.895,0.92,0.92,0.895,0.895,0.865,0.915
0.9,0.91,0.9,0.885,0.905,0.925,0.925,0.92,0.93,0.935
0.94,0.9,0.9,0.9,0.945,0.9,0.885,0.9,0.925,0.9
0.92,0.915,0.94,0.91,0.92,0.9,0.94,0.91,0.9,0.93
0.925,0.965,0.94,0.94,0.955,0.925,0.945,0.905,0.95,0.915
0.905,0.94,0.925,0.935,0.95,0.955,0.94,0.955,0.925,0.94
0.93,0.965,0.92,0.945,0.96,0.955,0.945,0.925,0.935,0.92
0.97,0.925,0.945,0.975,0.925,0.955,0.91,0.965,0.925,0.89
0.93,0.935,0.94,0.935,0.94,0.945,0.92,0.93,0.955,0.95
0.92,0.945,0.95,0.96,0.94,0.93,0.925,0.93,0.955,0.93
0.945,0.93,0.94,0.915,0.94,0.91,0.915,0.915,0.935,0.91
0.94,0.925,0.96,0.925,0.96,0.935,0.95,0.925,0.91,0.945
0.965,0.94,0.95,0.925,0.88,0.935,0.93,0.91,0.95,0.965
0.94,0.945,0.92,0.935,0.91,0.935,0.94,0.92,0.905,0.945
