agent_0,agent_1,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,return
0.485,0.575,0.44,0.55,0.505,0.505,0.565,0.465,0.535,0.51,0.47,0.48,0.55,0.505,0.495,0.505,0.505,0.525,0.505,0.465,15888.0
0.525,0.515,0.455,0.54,0.525,0.485,0.53,0.56,0.47,0.51,0.54,0.49,0.55,0.475,0.535,0.495,0.58,0.47,0.52,0.505,15780.0
0.535,0.465,0.545,0.455,0.58,0.49,0.495,0.575,0.5,0.48,0.485,0.47,0.545,0.57,0.545,0.51,0.485,0.525,0.505,0.54,15760.0
0.49,0.485,0.48,0.46,0.485,0.505,0.49,0.46,0.485,0.515,0.505,0.49,0.535,0.535,0.495,0.535,0.525,0.48,0.485,0.54,16016.0
0.48,0.52,0.55,0.49,0.53,0.475,0.49,0.525,0.465,0.51,0.555,0.48,0.455,0.495,0.495,0.5,0.53,0.56,0.5,0.465,15944.0
0.5,0.535,0.495,0.505,0.495,0.42,0.49,0.525,0.48,0.485,0.495,0.485,0.445,0.445,0.505,0.52,0.51,0.51,0.545,0.555,16044.0
0.485,0.515,0.475,0.575,0.54,0.54,0.49,0.51,0.47,0.495,0.535,0.54,0.445,0.535,0.555,0.475,0.535,0.585,0.475,0.52,15764.0
0.56,0.46,0.51,0.57,0.49,0.46,0.495,0.495,0.49,0.455,0.495,0.51,0.53,0.53,0.57,0.555,0.54,0.55,0.535,0.5,15760.0
0.555,0.54,0.515,0.515,0.535,0.495,0.475,0.485,0.52,0.545,0.555,0.45,0.5,0.51,0.405,0.48,0.5,0.46,0.46,0.51,15992.0
0.475,0.52,0.53,0.455,0.44,0.51,0.525,0.555,0.53,0.48,0.48,0.535,0.52,0.52,0.485,0.53,0.46,0.51,0.52,0.51,15928.0
0.485,0.515,0.495,0.56,0.52,0.44,0.485,0.475,0.545,0.515,0.505,0.53,0.495,0.52,0.525,0.52,0.49,0.535,0.515,0.475,15884.0
0.46,0.54,0.485,0.475,0.535,0.49,0.45,0.445,0.52,0.485,0.515,0.51,0.515,0.515,0.555,0.47,0.515,0.495,0.555,0.46,16008.0
0.485,0.45,0.53,0.485,0.475,0.54,0.52,0.515,0.57,0.515,0.51,0.5,0.475,0.515,0.53,0.485,0.54,0.54,0.545,0.485,15832.0
0.545,0.565,0.525,0.56,0.495,0.47,0.52,0.5,0.56,0.52,0.5,0.505,0.555,0.54,0.56,0.535,0.5,0.56,0.525,0.555,15524.0
0.525,0.445,0.49,0.48,0.49,0.48,0.45,0.49,0.53,0.505,0.51,0.555,0.49,0.49,0.505,0.58,0.53,0.515,0.53,0.48,15944.0
0.46,0.565,0.515,0.485,0.455,0.545,0.55,0.47,0.515,0.49,0.525,0.495,0.545,0.49,0.5,0.46,0.435,0.49,0.48,0.46,16056.0
0.49,0.475,0.54,0.485,0.505,0.54,0.485,0.505,0.555,0.525,0.56,0.515,0.455,0.51,0.435,0.52,0.535,0.51,0.58,0.465,15848.0
0.545,0.485,0.445,0.515,0.49,0.47,0.52,0.535,0.51,0.49,0.57,0.5,0.59,0.5,0.445,0.505,0.43,0.53,0.555,0.555,15852.0
0.5,0.445,0.435,0.54,0.47,0.55,0.53,0.505,0.46,0.52,0.51,0.57,0.485,0.465,0.465,0.53,0.525,0.52,0.555,0.51,15928.0
0.505,0.575,0.505,0.525,0.49,0.525,0.435,0.47,0.43,0.48,0.545,0.515,0.51,0.485,0.47,0.545,0.57,0.5,0.515,0.575,15864.0
0.51,0.51,0.505,0.53,0.53,0.48,0.5,0.54,0.54,0.495,0.5,0.525,0.48,0.44,0.46,0.55,0.43,0.565,0.555,0.505,15880.0
0.455,0.505,0.5,0.505,0.48,0.52,0.55,0.44,0.55,0.485,0.43,0.49,0.475,0.455,0.4,0.49,0.51,0.59,0.51,0.5,16128.0
0.505,0.54,0.41,0.41,0.4,0.525,0.53,0.5,0.485,0.515,0.49,0.5,0.57,0.58,0.555,0.52,0.535,0.51,0.51,0.5,15928.0
0.525,0.475,0.52,0.46,0.445,0.555,0.535,0.49,0.535,0.465,0.47,0.495,0.49,0.49,0.525,0.48,0.465,0.545,0.53,0.525,15984.0
0.51,0.52,0.455,0.495,0.53,0.485,0.485,0.485,0.44,0.495,0.53,0.515,0.545,0.43,0.525,0.415,0.43,0.49,0.53,0.465,16180.0
0.525,0.51,0.46,0.49,0.555,0.525,0.48,0.54,0.49,0.48,0.395,0.55,0.485,0.53,0.51,0.48,0.49,0.465,0.49,0.46,16072.0
0.535,0.49,0.49,0.465,0.585,0.52,0.46,0.445,0.475,0.575,0.475,0.505,0.435,0.545,0.495,0.525,0.54,0.495,0.455,0.5,15992.0
0.485,0.46,0.5,0.48,0.555,0.57,0.465,0.55,0.495,0.515,0.49,0.525,0.565,0.465,0.535,0.53,0.455,0.475,0.495,0.46,15944.0
0.525,0.54,0.515,0.47,0.53,0.49,0.49,0.49,0.47,0.515,0.555,0.48,0.485,0.555,0.475,0.52,0.485,0.56,0.465,0.47,15932.0
0.475,0.515,0.48,0.5,0.515,0.515,0.505,0.52,0.5,0.48,0.395,0.455,0.505,0.5,0.54,0.52,0.445,0.54,0.5,0.48,16092.0
0.465,0.465,0.49,0.42,0.47,0.465,0.455,0.465,0.53,0.445,0.505,0.445,0.46,0.43,0.455,0.455,0.445,0.435,0.445,0.465,16632.0
0.465,0.475,0.4,0.5,0.435,0.465,0.42,0.455,0.455,0.505,0.54,0.48,0.525,0.47,0.38,0.45,0.49,0.435,0.495,0.5,16528.0
0.41,0.47,0.45,0.445,0.51,0.445,0.495,0.43,0.49,0.46,0.49,0.485,0.48,0.5,0.495,0.46,0.46,0.49,0.45,0.52,16452.0
0.54,0.455,0.485,0.525,0.46,0.51,0.48,0.565,0.455,0.475,0.49,0.51,0.465,0.47,0.435,0.475,0.43,0.515,0.41,0.48,16296.0
0.43,0.455,0.51,0.5,0.525,0.49,0.53,0.485,0.515,0.46,0.43,0.47,0.485,0.46,0.475,0.45,0.44,0.42,0.53,0.45,16392.0
0.46,0.45,0.56,0.475,0.535,0.51,0.49,0.48,0.465,0.535,0.435,0.53,0.475,0.525,0.52,0.52,0.425,0.42,0.445,0.475,16216.0
0.485,0.51,0.46,0.465,0.435,0.495,0.49,0.435,0.475,0.46,0.475,0.44,0.45,0.5,0.48,0.49,0.475,0.455,0.46,0.475,16472.0
0.505,0.52,0.465,0.51,0.46,0.525,0.445,0.455,0.495,0.5,0.505,0.48,0.52,0.44,0.49,0.475,0.47,0.465,0.48,0.48,16252.0
0.49,0.51,0.455,0.495,0.45,0.51,0.41,0.445,0.5,0.5,0.445,0.535,0.555,0.415,0.445,0.515,0.45,0.485,0.495,0.485,16328.0
0.485,0.495,0.505,0.48,0.48,0.435,0.42,0.505,0.51,0.435,0.485,0.45,0.43,0.42,0.435,0.425,0.37,0.415,0.47,0.46,16712.0
0.52,0.44,0.375,0.47,0.415,0.425,0.435,0.405,0.45,0.465,0.48,0.45,0.41,0.445,0.45,0.43,0.42,0.41,0.455,0.46,16952.0
0.365,0.41,0.395,0.395,0.415,0.41,0.435,0.515,0.485,0.42,0.455,0.435,0.415,0.455,0.39,0.48,0.48,0.47,0.425,0.475,17020.0
0.44,0.455,0.475,0.5,0.415,0.435,0.445,0.52,0.445,0.46,0.395,0.43,0.43,0.43,0.49,0.445,0.415,0.405,0.405,0.49,16860.0
0.475,0.46,0.415,0.4,0.44,0.4,0.47,0.47,0.395,0.47,0.375,0.465,0.395,0.425,0.405,0.44,0.435,0.465,0.43,0.455,17052.0
0.39,0.445,0.41,0.46,0.46,0.4,0.41,0.41,0.41,0.445,0.47,0.49,0.495,0.525,0.455,0.49,0.435,0.515,0.405,0.435,16836.0
0.385,0.43,0.465,0.44,0.505,0.46,0.435,0.44,0.4,0.41,0.43,0.43,0.405,0.435,0.435,0.495,0.44,0.47,0.465,0.475,16920.0
0.41,0.46,0.42,0.435,0.47,0.475,0.395,0.4,0.38,0.46,0.41,0.39,0.425,0.48,0.435,0.48,0.43,0.39,0.475,0.42,17088.0
0.515,0.445,0.46,0.45,0.45,0.44,0.46,0.435,0.45,0.46,0.475,0.355,0.4,0.4,0.41,0.465,0.415,0.445,0.43,0.455,16948.0
0.46,0.42,0.465,0.465,0.45,0.41,0.445,0.445,0.435,0.405,0.455,0.455,0.485,0.435,0.415,0.415,0.465,0.37,0.42,0.43,17004.0
0.45,0.505,0.455,0.425,0.455,0.435,0.485,0.5,0.465,0.465,0.43,0.415,0.45,0.415,0.41,0.385,0.48,0.515,0.425,0.415,16816.0
0.485,0.45,0.485,0.51,0.47,0.5,0.435,0.525,0.46,0.475,0.5,0.425,0.525,0.48,0.48,0.505,0.51,0.445,0.44,0.46,16348.0
0.435,0.47,0.485,0.485,0.46,0.545,0.455,0.49,0.44,0.435,0.465,0.45,0.425,0.425,0.475,0.49,0.455,0.48,0.415,0.51,16568.0
0.53,0.505,0.48,0.42,0.47,0.435,0.42,0.52,0.46,0.47,0.465,0.495,0.425,0.47,0.425,0.5,0.49,0.515,0.52,0.515,16376.0
0.455,0.46,0.495,0.475,0.47,0.49,0.465,0.52,0.53,0.52,0.465,0.47,0.49,0.52,0.355,0.445,0.44,0.43,0.47,0.475,16448.0
0.5,0.455,0.525,0.48,0.515,0.48,0.465,0.515,0.52,0.48,0.555,0.465,0.455,0.495,0.475,0.46,0.465,0.465,0.445,0.535,16200.0
0.43,0.525,0.46,0.46,0.5,0.49,0.46,0.465,0.45,0.56,0.455,0.475,0.45,0.465,0.55,0.455,0.485,0.485,0.43,0.44,16408.0
0.43,0.455,0.445,0.525,0.45,0.455,0.51,0.44,0.43,0.455,0.49,0.495,0.43,0.515,0.5,0.42,0.475,0.38,0.485,0.53,16548.0
0.515,0.45,0.455,0.5,0.49,0.54,0.51,0.47,0.47,0.435,0.465,0.48,0.48,0.435,0.44,0.52,0.445,0.445,0.445,0.535,16380.0
0.475,0.52,0.465,0.495,0.47,0.48,0.45,0.52,0.46,0.47,0.485,0.505,0.485,0.49,0.555,0.465,0.485,0.48,0.41,0.47,16292.0
0.475,0.455,0.45,0.48,0.5,0.425,0.41,0.465,0.485,0.445,0.5,0.455,0.475,0.575,0.47,0.45,0.51,0.475,0.475,0.51,16412.0
0.52,0.585,0.54,0.51,0.52,0.53,0.58,0.535,0.55,0.515,0.495,0.55,0.52,0.515,0.62,0.51,0.455,0.49,0.59,0.515,15484.0
0.53,0.585,0.55,0.57,0.525,0.58,0.505,0.53,0.61,0.52,0.56,0.54,0.585,0.52,0.555,0.58,0.61,0.495,0.52,0.505,15220.0
0.555,0.545,0.555,0.515,0.505,0.54,0.495,0.535,0.52,0.515,0.495,0.53,0.53,0.515,0.535,0.51,0.51,0.58,0.58,0.525,15528.0
0.505,0.55,0.56,0.47,0.535,0.575,0.525,0.535,0.585,0.505,0.56,0.515,0.57,0.475,0.525,0.535,0.52,0.555,0.505,0.445,15560.0
0.525,0.525,0.54,0.55,0.585,0.45,0.515,0.48,0.565,0.555,0.52,0.49,0.56,0.48,0.53,0.525,0.495,0.49,0.595,0.535,15592.0
0.54,0.57,0.585,0.55,0.5,0.455,0.54,0.45,0.53,0.555,0.56,0.545,0.54,0.58,0.57,0.585,0.52,0.51,0.555,0.565,15356.0
0.535,0.5,0.495,0.58,0.515,0.55,0.535,0.505,0.55,0.495,0.555,0.58,0.545,0.56,0.57,0.555,0.55,0.54,0.525,0.545,15372.0
0.55,0.535,0.515,0.51,0.505,0.51,0.52,0.595,0.54,0.555,0.435,0.56,0.505,0.485,0.51,0.58,0.525,0.565,0.55,0.57,15504.0
0.49,0.505,0.535,0.525,0.56,0.485,0.52,0.51,0.52,0.51,0.51,0.55,0.56,0.57,0.575,0.54,0.555,0.58,0.545,0.505,15480.0
0.54,0.57,0.57,0.55,0.51,0.565,0.535,0.545,0.5,0.445,0.5,0.475,0.595,0.54,0.55,0.52,0.515,0.54,0.525,0.53,15504.0
0.55,0.405,0.48,0.465,0.455,0.39,0.475,0.475,0.415,0.445,0.45,0.47,0.46,0.485,0.44,0.48,0.49,0.42,0.43,0.465,16684.0
0.48,0.465,0.47,0.455,0.51,0.52,0.425,0.415,0.485,0.375,0.47,0.525,0.465,0.445,0.43,0.44,0.465,0.465,0.48,0.495,16576.0
0.36,0.47,0.475,0.475,0.41,0.44,0.48,0.455,0.47,0.405,0.47,0.4,0.455,0.49,0.455,0.485,0.415,0.415,0.53,0.45,16796.0
0.425,0.42,0.515,0.4,0.445,0.43,0.445,0.405,0.455,0.4,0.435,0.485,0.52,0.44,0.495,0.475,0.495,0.485,0.5,0.415,16732.0
0.42,0.565,0.375,0.43,0.495,0.41,0.52,0.47,0.45,0.46,0.47,0.51,0.485,0.505,0.47,0.465,0.385,0.42,0.46,0.45,16628.0
0.455,0.49,0.45,0.415,0.435,0.45,0.385,0.485,0.485,0.4,0.415,0.515,0.42,0.485,0.445,0.5,0.445,0.43,0.435,0.42,16832.0
0.445,0.445,0.4,0.435,0.465,0.455,0.515,0.36,0.41,0.425,0.445,0.445,0.44,0.395,0.445,0.47,0.415,0.47,0.465,0.465,16952.0
0.5,0.5,0.46,0.455,0.435,0.41,0.535,0.505,0.475,0.42,0.515,0.465,0.45,0.48,0.495,0.415,0.45,0.5,0.475,0.475,16468.0
0.465,0.47,0.48,0.495,0.47,0.37,0.4,0.445,0.37,0.475,0.52,0.445,0.495,0.48,0.5,0.515,0.445,0.44,0.46,0.455,16644.0
0.405,0.515,0.465,0.385,0.445,0.535,0.475,0.435,0.46,0.475,0.465,0.46,0.46,0.465,0.48,0.48,0.37,0.42,0.465,0.43,16728.0
0.45,0.4,0.43,0.495,0.435,0.445,0.425,0.415,0.48,0.5,0.525,0.45,0.475,0.455,0.475,0.465,0.36,0.545,0.465,0.405,16724.0
0.41,0.435,0.43,0.39,0.46,0.48,0.425,0.45,0.45,0.46,0.405,0.435,0.395,0.475,0.465,0.4,0.47,0.42,0.45,0.455,16992.0
0.52,0.47,0.43,0.465,0.455,0.515,0.505,0.435,0.455,0.445,0.47,0.435,0.415,0.445,0.49,0.44,0.44,0.405,0.475,0.465,16660.0
0.475,0.46,0.47,0.525,0.405,0.42,0.43,0.465,0.385,0.455,0.455,0.45,0.455,0.445,0.455,0.455,0.47,0.5,0.45,0.45,16740.0
0.49,0.49,0.48,0.435,0.415,0.44,0.52,0.525,0.415,0.455,0.455,0.54,0.43,0.405,0.505,0.505,0.41,0.485,0.355,0.425,16656.0
0.455,0.41,0.395,0.355,0.455,0.415,0.45,0.475,0.465,0.42,0.45,0.465,0.45,0.425,0.485,0.495,0.445,0.44,0.45,0.495,16884.0
0.43,0.42,0.41,0.445,0.435,0.425,0.425,0.42,0.415,0.395,0.46,0.49,0.465,0.5,0.505,0.465,0.45,0.47,0.495,0.52,16768.0
0.45,0.43,0.44,0.46,0.455,0.445,0.405,0.49,0.425,0.495,0.415,0.475,0.465,0.54,0.45,0.41,0.385,0.505,0.45,0.44,16776.0
0.42,0.43,0.425,0.42,0.48,0.475,0.46,0.425,0.455,0.475,0.455,0.475,0.415,0.45,0.41,0.47,0.455,0.5,0.455,0.465,16788.0
0.375,0.545,0.445,0.455,0.45,0.415,0.465,0.42,0.425,0.385,0.475,0.5,0.485,0.47,0.44,0.53,0.375,0.46,0.455,0.445,16788.0
0.475,0.395,0.46,0.475,0.505,0.485,0.455,0.485,0.38,0.435,0.485,0.555,0.495,0.425,0.485,0.455,0.465,0.415,0.41,0.405,16684.0
0.495,0.49,0.455,0.52,0.53,0.485,0.55,0.45,0.445,0.445,0.48,0.46,0.505,0.485,0.46,0.49,0.485,0.455,0.47,0.515,16264.0
0.45,0.49,0.48,0.47,0.485,0.5,0.43,0.445,0.43,0.475,0.43,0.42,0.48,0.43,0.46,0.455,0.425,0.46,0.46,0.455,16696.0
0.485,0.49,0.485,0.385,0.47,0.43,0.45,0.465,0.5,0.435,0.465,0.48,0.495,0.47,0.445,0.445,0.49,0.465,0.48,0.475,16556.0
0.485,0.465,0.42,0.41,0.435,0.405,0.405,0.45,0.435,0.45,0.535,0.425,0.415,0.43,0.495,0.425,0.465,0.44,0.455,0.43,16900.0
0.47,0.505,0.42,0.455,0.455,0.48,0.465,0.39,0.455,0.435,0.52,0.52,0.475,0.425,0.495,0.49,0.455,0.45,0.42,0.46,16608.0
0.5,0.445,0.465,0.425,0.435,0.465,0.485,0.495,0.455,0.455,0.51,0.525,0.435,0.5,0.465,0.43,0.455,0.48,0.46,0.505,16488.0
0.47,0.555,0.49,0.455,0.425,0.5,0.505,0.5,0.485,0.46,0.435,0.375,0.52,0.445,0.405,0.465,0.455,0.48,0.505,0.45,16496.0
0.505,0.465,0.485,0.435,0.485,0.455,0.46,0.455,0.5,0.475,0.435,0.42,0.51,0.43,0.46,0.47,0.475,0.43,0.465,0.49,16556.0
0.45,0.45,0.45,0.515,0.47,0.44,0.5,0.47,0.455,0.5,0.37,0.405,0.4,0.475,0.465,0.47,0.43,0.405,0.39,0.46,16824.0
0.475,0.5,0.47,0.51,0.445,0.435,0.43,0.45,0.45,0.455,0.565,0.46,0.455,0.525,0.425,0.495,0.465,0.51,0.495,0.48,16404.0
0.59,0.44,0.515,0.525,0.46,0.515,0.445,0.505,0.52,0.51,0.45,0.485,0.5,0.465,0.46,0.485,0.555,0.485,0.555,0.44,16076.0
0.455,0.495,0.51,0.47,0.545,0.495,0.48,0.52,0.495,0.495,0.5,0.5,0.495,0.53,0.45,0.485,0.49,0.51,0.5,0.49,16072.0
0.53,0.51,0.46,0.54,0.485,0.53,0.505,0.54,0.485,0.53,0.53,0.52,0.46,0.54,0.495,0.535,0.52,0.485,0.44,0.445,15932.0
0.505,0.465,0.515,0.48,0.5,0.485,0.525,0.465,0.49,0.5,0.555,0.575,0.48,0.475,0.5,0.465,0.49,0.52,0.44,0.495,16060.0
0.4,0.51,0.47,0.51,0.515,0.485,0.465,0.465,0.48,0.485,0.455,0.505,0.49,0.48,0.565,0.455,0.48,0.48,0.495,0.47,16272.0
0.495,0.48,0.45,0.575,0.48,0.535,0.53,0.505,0.5,0.505,0.455,0.52,0.5,0.47,0.405,0.515,0.5,0.485,0.475,0.44,16144.0
0.48,0.43,0.425,0.5,0.545,0.5,0.45,0.53,0.445,0.43,0.445,0.485,0.495,0.47,0.475,0.475,0.535,0.46,0.505,0.505,16332.0
0.47,0.555,0.505,0.505,0.5,0.45,0.48,0.505,0.525,0.495,0.46,0.495,0.495,0.455,0.485,0.42,0.455,0.435,0.45,0.455,16324.0
0.485,0.395,0.49,0.455,0.575,0.45,0.485,0.425,0.485,0.425,0.445,0.515,0.53,0.54,0.455,0.465,0.525,0.47,0.5,0.505,16304.0
0.405,0.48,0.435,0.425,0.465,0.45,0.445,0.46,0.445,0.46,0.455,0.46,0.415,0.46,0.43,0.445,0.485,0.44,0.45,0.45,16832.0
0.41,0.455,0.475,0.46,0.45,0.465,0.485,0.41,0.46,0.495,0.455,0.43,0.47,0.43,0.42,0.51,0.48,0.46,0.485,0.465,16664.0
0.405,0.425,0.44,0.46,0.455,0.43,0.495,0.48,0.44,0.405,0.42,0.44,0.425,0.365,0.42,0.46,0.415,0.395,0.41,0.405,17128.0
0.48,0.425,0.475,0.47,0.425,0.45,0.46,0.425,0.42,0.41,0.47,0.42,0.44,0.4,0.465,0.505,0.415,0.46,0.49,0.435,16848.0
0.425,0.435,0.44,0.445,0.435,0.48,0.4,0.455,0.45,0.43,0.425,0.44,0.43,0.53,0.485,0.435,0.4,0.475,0.525,0.41,16840.0
0.46,0.465,0.38,0.51,0.46,0.46,0.41,0.37,0.45,0.465,0.44,0.47,0.44,0.44,0.45,0.465,0.475,0.435,0.395,0.41,16920.0
0.405,0.42,0.39,0.44,0.425,0.43,0.44,0.405,0.43,0.435,0.43,0.41,0.395,0.425,0.38,0.395,0.385,0.455,0.405,0.455,17316.0
0.455,0.485,0.445,0.425,0.415,0.42,0.43,0.44,0.425,0.42,0.485,0.39,0.455,0.385,0.465,0.455,0.43,0.395,0.41,0.42,17080.0
0.39,0.42,0.45,0.475,0.43,0.43,0.36,0.44,0.455,0.495,0.415,0.425,0.455,0.49,0.45,0.4,0.435,0.44,0.455,0.44,17000.0
0.42,0.435,0.4,0.465,0.43,0.47,0.465,0.47,0.465,0.44,0.41,0.4,0.45,0.42,0.41,0.425,0.365,0.415,0.485,0.42,17072.0
