agent_0,agent_1,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_2,agent_20,agent_21,agent_22,agent_23,agent_24,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,return
0.525,0.59,0.585,0.545,0.44,0.545,0.555,0.505,0.535,0.515,0.51,0.46,0.53,0.505,0.54,0.53,0.58,0.53,0.48,0.585,0.495,0.57,0.56,0.565,0.575,12329.0
0.52,0.5,0.6,0.525,0.525,0.52,0.605,0.545,0.565,0.515,0.595,0.485,0.555,0.57,0.52,0.55,0.47,0.525,0.505,0.5,0.5,0.495,0.5,0.53,0.635,12329.0
0.54,0.515,0.555,0.5,0.495,0.54,0.495,0.53,0.53,0.54,0.545,0.56,0.585,0.59,0.57,0.565,0.535,0.555,0.52,0.575,0.55,0.56,0.5,0.515,0.52,12303.0
0.48,0.525,0.49,0.51,0.565,0.55,0.515,0.51,0.57,0.545,0.485,0.56,0.51,0.505,0.555,0.525,0.485,0.515,0.495,0.475,0.525,0.51,0.545,0.46,0.55,12408.0
0.53,0.485,0.61,0.545,0.57,0.58,0.53,0.535,0.565,0.565,0.555,0.535,0.565,0.56,0.555,0.555,0.485,0.48,0.465,0.53,0.51,0.525,0.575,0.53,0.535,12305.0
0.55,0.565,0.595,0.52,0.59,0.58,0.485,0.57,0.545,0.525,0.55,0.505,0.505,0.5,0.57,0.525,0.49,0.52,0.55,0.515,0.455,0.535,0.555,0.5,0.575,12325.0
0.57,0.43,0.5,0.515,0.53,0.48,0.5,0.525,0.47,0.535,0.585,0.555,0.495,0.585,0.53,0.52,0.53,0.53,0.52,0.515,0.545,0.535,0.495,0.56,0.55,12379.0
0.45,0.515,0.555,0.47,0.535,0.59,0.505,0.495,0.5,0.525,0.535,0.545,0.555,0.46,0.545,0.515,0.5,0.515,0.54,0.585,0.555,0.53,0.585,0.545,0.525,12365.0
0.565,0.49,0.505,0.59,0.535,0.54,0.53,0.595,0.515,0.575,0.555,0.53,0.515,0.52,0.48,0.525,0.555,0.495,0.54,0.535,0.53,0.655,0.505,0.435,0.5,12337.0
0.555,0.525,0.53,0.575,0.49,0.54,0.53,0.515,0.54,0.5,0.545,0.535,0.535,0.48,0.555,0.555,0.545,0.59,0.505,0.55,0.56,0.58,0.46,0.51,0.51,12337.0
