agent_0,agent_1,return
0.46,0.525,597.0
0.51,0.46,594.0
0.575,0.485,612.0
0.495,0.495,598.0
0.535,0.505,608.0
0.51,0.52,606.0
0.565,0.5,613.0
0.565,0.555,624.0
0.515,0.505,604.0
0.545,0.515,612.0
0.57,0.62,638.0
0.58,0.53,622.0
0.67,0.57,648.0
0.56,0.58,628.0
0.555,0.59,629.0
0.595,0.565,632.0
0.6,0.61,642.0
0.61,0.54,630.0
0.535,0.52,611.0
0.515,0.595,622.0
0.605,0.655,652.0
0.63,0.685,663.0
0.625,0.655,656.0
0.64,0.57,642.0
0.565,0.645,642.0
0.66,0.655,663.0
0.63,0.625,651.0
0.66,0.6,652.0
0.59,0.67,652.0
0.625,0.61,647.0
0.685,0.705,678.0
0.75,0.75,700.0
0.7,0.67,674.0
0.68,0.71,678.0
0.695,0.7,679.0
0.69,0.785,695.0
0.725,0.67,679.0
0.685,0.685,674.0
0.715,0.775,698.0
0.725,0.695,684.0
0.765,0.77,707.0
0.795,0.78,715.0
0.76,0.765,705.0
0.81,0.82,726.0
0.77,0.74,702.0
0.765,0.74,701.0
0.82,0.825,729.0
0.785,0.765,710.0
0.82,0.785,721.0
0.795,0.82,723.0
0.785,0.83,723.0
0.805,0.865,734.0
0.885,0.815,740.0
0.83,0.82,730.0
0.83,0.855,737.0
0.83,0.86,738.0
0.825,0.8,725.0
0.78,0.87,730.0
0.835,0.875,742.0
0.81,0.81,724.0
0.87,0.875,749.0
0.87,0.89,752.0
0.885,0.85,747.0
0.855,0.905,752.0
0.85,0.9,750.0
0.87,0.87,748.0
0.85,0.84,738.0
0.895,0.83,745.0
0.9,0.9,760.0
0.805,0.835,728.0
0.895,0.86,751.0
0.845,0.855,740.0
0.88,0.85,746.0
0.89,0.87,752.0
0.865,0.84,741.0
0.82,0.85,734.0
0.87,0.845,743.0
0.845,0.815,732.0
0.835,0.845,736.0
0.87,0.84,742.0
0.895,0.9,759.0
0.895,0.905,760.0
0.935,0.925,772.0
0.92,0.92,768.0
0.845,0.895,748.0
0.885,0.855,748.0
0.905,0.92,765.0
0.9,0.93,766.0
0.925,0.89,763.0
0.875,0.91,757.0
0.93,0.895,765.0
0.895,0.945,768.0
0.95,0.91,772.0
0.91,0.935,769.0
0.93,0.9,766.0
0.885,0.915,760.0
0.91,0.945,771.0
0.925,0.89,763.0
0.91,0.89,760.0
0.925,0.89,763.0
0.925,0.935,772.0
0.945,0.93,775.0
0.925,0.94,773.0
0.945,0.91,771.0
0.905,0.92,765.0
0.93,0.915,769.0
0.93,0.93,772.0
0.915,0.93,769.0
0.94,0.955,779.0
0.92,0.94,772.0
0.945,0.945,778.0
0.9,0.915,763.0
0.885,0.945,766.0
0.895,0.925,764.0
0.91,0.94,770.0
0.92,0.925,769.0
0.92,0.92,768.0
0.93,0.915,769.0
0.935,0.925,772.0
0.925,0.92,769.0
0.94,0.935,775.0
0.94,0.92,772.0
0.93,0.955,777.0
0.94,0.94,776.0
0.905,0.905,762.0
0.945,0.935,776.0
0.935,0.945,776.0
0.92,0.935,771.0
0.92,0.935,771.0
0.96,0.935,779.0
0.96,0.955,783.0
0.965,0.935,780.0
0.945,0.95,779.0
0.96,0.945,781.0
0.955,0.91,773.0
0.95,0.93,776.0
0.98,0.955,787.0
0.935,0.905,768.0
0.95,0.95,780.0
0.945,0.94,777.0
0.955,0.955,782.0
0.965,0.965,786.0
0.945,0.975,784.0
0.965,0.975,788.0
0.935,0.98,783.0
0.97,0.97,788.0
0.965,0.97,787.0
0.98,0.935,783.0
0.97,0.98,790.0
0.98,0.945,785.0
0.95,0.98,786.0
0.98,0.965,789.0
0.99,0.975,793.0
0.975,0.97,789.0
0.985,0.955,788.0
0.975,0.96,787.0
0.98,0.955,787.0
0.98,0.97,790.0
0.985,0.975,792.0
0.975,0.975,790.0
0.97,0.965,787.0
0.985,0.985,794.0
0.96,0.98,788.0
0.985,0.975,792.0
0.965,0.955,784.0
0.975,0.98,791.0
0.975,0.955,786.0
0.975,0.98,791.0
0.96,0.955,783.0
0.975,0.95,785.0
0.975,0.96,787.0
0.965,0.975,788.0
0.975,0.965,788.0
0.96,0.99,790.0
0.96,0.985,789.0
0.98,0.975,791.0
0.98,0.965,789.0
0.975,0.98,791.0
0.97,0.985,791.0
0.985,0.97,791.0
0.99,0.98,794.0
0.985,0.975,792.0
0.985,0.985,794.0
0.955,0.97,785.0
0.985,0.975,792.0
0.975,0.98,791.0
0.96,0.98,788.0
0.97,0.97,788.0
0.98,0.985,793.0
0.985,0.99,795.0
0.975,0.98,791.0
0.985,0.98,793.0
0.98,0.98,792.0
0.97,0.995,793.0
0.98,0.985,793.0
0.975,0.98,791.0
0.99,0.98,794.0
0.985,0.985,794.0
0.985,0.995,796.0
0.975,0.985,792.0
