agent_0,agent_1,agent_2,agent_3,agent_4,return
0.535,0.495,0.525,0.52,0.46,1507.0
0.445,0.545,0.495,0.475,0.51,1494.0
0.54,0.5,0.555,0.565,0.49,1530.0
0.47,0.52,0.5,0.505,0.455,1490.0
0.49,0.5,0.485,0.47,0.445,1477.9999999999998
0.43,0.515,0.525,0.52,0.49,1496.0
0.49,0.535,0.485,0.545,0.46,1502.9999999999998
0.5,0.5,0.53,0.425,0.47,1485.0
0.485,0.505,0.545,0.5,0.495,1506.0
0.5,0.555,0.475,0.475,0.51,1502.9999999999998
0.65,0.55,0.545,0.56,0.62,1585.0
0.64,0.57,0.61,0.625,0.59,1607.0
0.595,0.575,0.625,0.53,0.645,1593.9999999999998
0.55,0.555,0.62,0.565,0.58,1573.9999999999998
0.56,0.625,0.635,0.65,0.585,1611.0
0.56,0.65,0.59,0.605,0.605,1602.0
0.6,0.635,0.605,0.555,0.55,1588.9999999999998
0.665,0.565,0.585,0.625,0.63,1613.9999999999998
0.57,0.635,0.57,0.57,0.615,1592.0
0.55,0.585,0.58,0.615,0.675,1601.0
0.645,0.675,0.69,0.64,0.695,1668.9999999999998
0.685,0.625,0.605,0.635,0.715,1652.9999999999998
0.61,0.635,0.66,0.66,0.655,1643.9999999999998
0.65,0.66,0.675,0.615,0.71,1662.0
0.615,0.65,0.67,0.7,0.625,1652.0
0.685,0.67,0.695,0.655,0.68,1677.0
0.66,0.685,0.63,0.685,0.65,1662.0
0.625,0.71,0.68,0.65,0.645,1662.0
0.675,0.78,0.65,0.595,0.69,1677.9999999999998
0.705,0.66,0.685,0.69,0.605,1668.9999999999998
0.77,0.77,0.795,0.75,0.77,1771.0
0.825,0.735,0.74,0.805,0.705,1762.0
0.79,0.71,0.7,0.685,0.765,1729.9999999999998
0.715,0.74,0.785,0.74,0.745,1744.9999999999998
0.76,0.755,0.74,0.765,0.74,1752.0
0.705,0.755,0.8,0.78,0.71,1749.9999999999998
0.755,0.72,0.72,0.78,0.75,1744.9999999999998
0.72,0.805,0.795,0.695,0.825,1767.9999999999998
0.73,0.7,0.72,0.735,0.74,1724.9999999999998
0.745,0.77,0.735,0.755,0.77,1754.9999999999998
0.805,0.815,0.77,0.825,0.81,1805.0
0.8,0.775,0.815,0.805,0.84,1807.0
0.8,0.82,0.82,0.79,0.85,1816.0
0.77,0.825,0.84,0.845,0.83,1822.0
0.805,0.78,0.83,0.79,0.775,1796.0
0.805,0.835,0.79,0.82,0.77,1803.9999999999998
0.8,0.83,0.81,0.785,0.825,1810.0
0.81,0.77,0.805,0.775,0.81,1793.9999999999998
0.825,0.845,0.815,0.825,0.805,1822.9999999999998
0.835,0.775,0.81,0.77,0.73,1783.9999999999998
0.84,0.87,0.87,0.81,0.86,1850.0
0.835,0.905,0.865,0.86,0.87,1867.0
0.86,0.83,0.85,0.85,0.77,1832.0
0.835,0.865,0.86,0.85,0.845,1851.0
0.805,0.825,0.855,0.865,0.85,1840.0
0.83,0.845,0.855,0.875,0.83,1847.0
0.865,0.835,0.82,0.845,0.835,1840.0
0.81,0.825,0.845,0.845,0.85,1835.0
0.855,0.875,0.865,0.81,0.845,1850.0
0.815,0.85,0.815,0.865,0.87,1842.9999999999998
0.895,0.89,0.885,0.9,0.89,1892.0
0.875,0.885,0.88,0.885,0.92,1888.9999999999998
0.86,0.91,0.875,0.85,0.9,1878.9999999999998
0.86,0.92,0.91,0.87,0.9,1892.0
0.86,0.86,0.895,0.88,0.915,1882.0
0.89,0.86,0.89,0.88,0.905,1885.0
0.88,0.89,0.91,0.86,0.88,1883.9999999999998
0.93,0.885,0.865,0.905,0.9,1897.0
0.91,0.91,0.885,0.925,0.885,1902.9999999999998
0.92,0.915,0.885,0.89,0.88,1897.9999999999998
0.89,0.905,0.895,0.895,0.905,1897.9999999999998
0.94,0.925,0.935,0.91,0.92,1926.0
0.905,0.935,0.935,0.865,0.92,1912.0
0.915,0.925,0.9,0.925,0.9,1912.9999999999998
0.93,0.93,0.925,0.95,0.945,1936.0
0.905,0.88,0.955,0.94,0.925,1921.0
0.92,0.925,0.89,0.92,0.915,1914.0
0.92,0.925,0.905,0.91,0.89,1910.0
0.905,0.925,0.895,0.915,0.91,1910.0
0.935,0.9,0.925,0.91,0.935,1921.0
0.91,0.915,0.935,0.955,0.94,1931.0
0.945,0.945,0.945,0.92,0.915,1934.0
0.94,0.955,0.92,0.945,0.925,1937.0
0.945,0.93,0.94,0.945,0.945,1941.0
0.94,0.945,0.92,0.9,0.955,1932.0
0.93,0.975,0.93,0.955,0.925,1942.9999999999998
0.935,0.905,0.935,0.925,0.93,1926.0
0.955,0.94,0.925,0.96,0.925,1941.0
0.955,0.92,0.92,0.895,0.935,1925.0
0.925,0.955,0.895,0.895,0.945,1922.9999999999998
0.925,0.955,0.955,0.945,0.945,1945.0
0.96,0.945,0.94,0.955,0.945,1949.0
0.95,0.965,0.945,0.94,0.95,1950.0
0.96,0.96,0.965,0.955,0.96,1960.0
0.945,0.97,0.93,0.955,0.965,1952.9999999999998
0.96,0.955,0.935,0.96,0.965,1955.0
0.94,0.955,0.95,0.935,0.935,1942.9999999999998
0.96,0.94,0.95,0.955,0.97,1955.0
0.99,0.96,0.97,0.97,0.945,1967.0
0.96,0.94,0.94,0.94,0.92,1940.0
0.965,0.98,0.98,0.97,0.965,1972.0
0.98,0.965,0.97,0.965,0.965,1969.0
0.955,0.985,0.975,0.945,0.975,1967.0
0.99,0.98,0.955,0.94,0.94,1961.0
0.965,0.95,0.96,0.985,0.95,1962.0
0.94,0.965,0.955,0.95,0.955,1952.9999999999998
0.97,0.945,0.96,0.97,0.975,1964.0
0.965,0.985,0.955,0.955,0.94,1960.0
0.94,0.95,0.955,0.96,0.97,1955.0
0.97,0.97,0.955,0.945,0.97,1962.0
0.975,0.98,0.975,0.965,0.97,1973.0
0.975,0.975,0.98,0.98,0.99,1980.0
0.95,0.98,0.975,0.96,0.985,1970.0
0.98,0.965,0.975,0.98,0.975,1975.0
0.975,0.97,0.98,0.98,0.98,1977.0
0.97,0.98,0.975,0.975,0.975,1975.0
0.99,0.985,0.985,0.99,0.995,1989.0
0.975,0.98,0.985,0.97,0.98,1978.0
0.97,0.97,0.965,0.98,0.97,1971.0
0.99,0.975,0.98,0.985,0.975,1981.0
0.965,0.985,0.985,0.99,0.965,1978.0
0.99,0.985,0.98,0.98,0.985,1984.0
0.985,0.995,0.995,0.96,0.995,1986.0
0.985,1.0,0.97,0.985,0.99,1986.0
0.995,0.985,0.995,0.955,0.98,1982.0
0.99,0.975,0.99,0.995,0.995,1989.0
0.985,0.985,0.99,0.975,0.975,1982.0
0.975,0.98,0.995,0.965,0.995,1982.0
0.975,0.97,0.995,0.985,0.975,1980.0
0.99,0.99,0.99,0.97,0.96,1980.0
0.98,0.995,0.995,0.99,0.99,1990.0
0.97,0.985,0.99,0.98,0.985,1982.0
0.985,0.99,0.985,0.99,0.975,1985.0
0.99,0.99,0.99,0.985,0.985,1988.0
0.995,0.995,0.975,0.99,0.98,1987.0
0.98,0.98,1.0,1.0,0.995,1991.0
0.985,1.0,0.97,0.995,0.995,1989.0
0.99,1.0,0.995,0.985,0.99,1992.0
